종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률,기준일
298540,더네이쳐홀딩스,10090,330,3.38,3377.0,2.99,2864.0,3.52,21542.0,0.47,400,3.96,20241023
032860,더라미,2210,-340,-13.33,,,,,1318.0,1.68,0,0.0,20241023
192080,더블유게임즈,50800,0,0.0,7635.0,6.65,8913.0,5.7,44663.0,1.14,1000,1.97,20241023
393890,더블유씨피,16160,390,2.47,1591.0,10.16,960.0,16.83,29689.0,0.54,0,0.0,20241023
299170,더블유에스아이,1495,-27,-1.77,96.0,15.57,,,1339.0,1.12,0,0.0,20241023
012510,더존비즈온,50000,2600,5.49,1082.0,46.21,1912.0,26.14,14903.0,3.36,217,0.43,20241023
224060,더코디,4490,180,4.18,,,,,9941.0,0.45,0,0.0,20241023
043090,더테크놀로지,431,4,0.94,,,,,662.0,0.65,0,0.0,20241023
213420,덕산네오룩스,29650,300,1.02,1456.0,20.36,2104.0,14.09,14375.0,2.06,0,0.0,20241023
317330,덕산테코피아,38100,400,1.06,,,,,9756.0,3.91,0,0.0,20241023
077360,덕산하이메탈,4800,115,2.45,125.0,38.4,,,6369.0,0.75,0,0.0,20241023
004830,덕성,6530,30,0.46,366.0,17.84,,,5653.0,1.16,45,0.69,20241023
004835,덕성우,9780,70,0.72,,,,,,,50,0.51,20241023
090410,덕신이피씨,1415,15,1.07,523.0,2.71,,,2473.0,0.57,30,2.12,20241023
024900,덕양산업,3280,10,0.31,383.0,8.56,,,2927.0,1.12,50,1.52,20241023
263600,덕우전자,6030,100,1.69,,,,,6335.0,0.95,0,0.0,20241023
194480,데브시스터즈,34900,350,1.01,,,4738.0,7.37,12332.0,2.83,0,0.0,20241023
263800,데이타솔루션,4370,30,0.69,99.0,44.14,,,2069.0,2.11,0,0.0,20241023
206560,덱스터,7900,10,0.13,,,,,2109.0,3.75,0,0.0,20241023
261200,덴티스,7170,200,2.87,263.0,27.26,,,3644.0,1.97,0,0.0,20241023
145720,덴티움,76200,-100,-0.13,11193.0,6.81,10277.0,7.41,53874.0,1.41,400,0.52,20241023
