종목코드,종목명,배당수익률,주당배당금,기준일
012700,리드코프,4.58,200,20241023
102260,동성케미컬,4.56,200,20241023
267250,HD현대,4.56,3700,20241023
262840,아이퀘스트,4.56,100,20241023
128660,피제이메탈,4.55,150,20241023
002450,삼익악기,4.55,50,20241023
013030,하이록코리아,4.54,1050,20241023
129260,인터지스,4.54,100,20241023
115310,인포바인,4.53,900,20241023
005440,현대지에프홀딩스,4.52,200,20241023
058860,KTis,4.51,120,20241023
008370,원풍,4.5,220,20241023
234080,JW생명과학,4.5,500,20241023
035600,KG이니시스,4.5,420,20241023
110790,크리스에프앤씨,4.48,300,20241023
001500,현대차증권,4.47,400,20241023
089600,나스미디어,4.45,700,20241023
192400,쿠쿠홀딩스,4.44,1100,20241023
077500,유니퀘스트,4.43,200,20241023
009180,한솔로지스틱스,4.42,100,20241023
093190,빅솔론,4.41,200,20241023
003070,코오롱글로벌,4.41,400,20241023
000215,DL우,4.41,1050,20241023
009970,영원무역홀딩스,4.4,3970,20241023
004980,성신양회,4.4,350,20241023
060720,KH바텍,4.39,400,20241023
004000,롯데정밀화학,4.39,2000,20241023
286940,롯데이노베이트,4.39,1000,20241023
216050,인크로스,4.39,321,20241023
189690,포시에스,4.39,100,20241023
000810,삼성화재,4.38,16000,20241023
134380,미원화학,4.38,3500,20241023
030610,교보증권,4.37,250,20241023
005500,삼진제약,4.35,800,20241023
004150,한솔홀딩스,4.34,100,20241023
010470,오리콤,4.34,270,20241023
018670,SK가스,4.33,8000,20241023
039240,경남스틸,4.32,120,20241023
377740,바이오노트,4.31,200,20241023
100030,인지소프트,4.3,728,20241023
017390,서울가스,4.3,2250,20241023
285490,노바텍,4.27,500,20241023
058430,포스코스틸리온,4.27,1615,20241023
023150,MH에탄올,4.27,250,20241023
012750,에스원,4.27,2700,20241023
000240,한국앤컴퍼니,4.26,700,20241023
023000,삼원강재,4.25,110,20241023
058650,세아홀딩스,4.25,4000,20241023
121440,골프존뉴딘홀딩스,4.23,167,20241023
057030,YBM넷,4.21,150,20241023
024120,KB오토시스,4.2,150,20241023
108670,LX하우시스,4.16,1700,20241023
002150,도화엔지니어링,4.16,280,20241023
204610,티쓰리,4.15,60,20241023
03473K,SK우,4.15,5050,20241023
005725,넥센우,4.14,130,20241023
005180,빙그레,4.13,2600,20241023
171120,라이온켐텍,4.12,100,20241023
089860,롯데렌탈,4.12,1200,20241023
011200,HMM,4.11,700,20241023
306040,에스제이그룹,4.11,250,20241023
018500,동원금속,4.1,50,20241023
010955,S-Oil우,4.1,1725,20241023
089850,유비벨록스,4.09,280,20241023
097955,CJ제일제당 우,4.08,5550,20241023
000370,한화손해보험,4.08,200,20241023
001120,LX인터내셔널,4.06,1200,20241023
044820,코스맥스비티아이,4.03,350,20241023
136540,윈스,4.02,500,20241023
120110,코오롱인더,4.02,1300,20241023
033920,무학,4.02,230,20241023
001680,대상,4.01,800,20241023
003550,LG,4.0,3100,20241023
122990,와이솔,4.0,250,20241023
221980,케이디켐,3.99,500,20241023
034310,NICE,3.98,451,20241023
111710,남화산업,3.98,200,20241023
083420,그린케미칼,3.96,230,20241023
298540,더네이쳐홀딩스,3.96,400,20241023
079000,와토스코리아,3.94,200,20241023
004365,세방우,3.94,305,20241023
013870,지엠비코리아,3.93,150,20241023
241560,두산밥캣,3.92,1600,20241023
001790,대한제당,3.91,115,20241023
347890,엠투아이,3.91,220,20241023
001740,SK네트웍스,3.91,200,20241023
036800,나이스정보통신,3.89,730,20241023
006805,미래에셋증권우,3.87,165,20241023
004255,NPC우,3.87,105,20241023
003780,진양산업,3.86,250,20241023
044450,KSS해운,3.86,350,20241023
023590,다우기술,3.84,700,20241023
383800,LX홀딩스,3.82,270,20241023
049720,고려신용정보,3.82,380,20241023
214370,케어젠,3.81,640,20241023
036640,HRS,3.81,200,20241023
004450,삼화왕관,3.8,1200,20241023
002020,코오롱,3.8,550,20241023
00104K,CJ4우(전환),3.8,3050,20241023
090350,노루페인트,3.79,325,20241023
052600,한네트,3.78,150,20241023
011170,롯데케미칼,3.77,3500,20241023
028100,동아지질,3.77,500,20241023
011370,서한,3.77,30,20241023
35320K,대덕전자1우,3.77,305,20241023
002355,넥센타이어1우B,3.76,120,20241023
317400,자이에스앤디,3.75,150,20241023
071840,롯데하이마트,3.75,300,20241023
004020,현대제철,3.75,1000,20241023
009770,삼정펄프,3.75,1000,20241023
33637K,솔루스첨단소재1우,3.74,101,20241023
031510,오스템,3.73,50,20241023
015860,일진홀딩스,3.73,150,20241023
055550,신한지주,3.73,2100,20241023
098660,에스티오,3.73,110,20241023
032830,삼성생명,3.73,3700,20241023
170790,파이오링크,3.72,300,20241023
00680K,미래에셋증권2우B,3.72,150,20241023
170030,현대공업,3.72,200,20241023
264450,유비쿼스,3.72,510,20241023
026960,동서,3.71,780,20241023
000320,노루홀딩스,3.71,500,20241023
029530,신도리코,3.7,1500,20241023
126640,화신정공,3.7,50,20241023
084010,대한제강,3.69,500,20241023
018120,진로발효,3.68,650,20241023
072710,농심홀딩스,3.68,2500,20241023
009200,무림페이퍼,3.68,75,20241023
111110,호전실업,3.68,300,20241023
001420,태원물산,3.68,140,20241023
052400,코나아이,3.66,500,20241023
030190,NICE평가정보,3.66,410,20241023
024880,케이피에프,3.65,150,20241023
016610,DB금융투자,3.65,200,20241023
010640,진양폴리,3.64,250,20241023
130580,나이스디앤비,3.63,182,20241023
013310,아진산업,3.62,100,20241023
067920,이글루,3.61,180,20241023
204020,그리티,3.61,100,20241023
277410,인산가,3.6,50,20241023
126720,수산인더스트리,3.6,800,20241023
075180,새론오토모티브,3.59,140,20241023
00279K,아모레G3우(전환),3.59,667,20241023
001560,제일연마,3.58,300,20241023
067010,이씨에스,3.58,100,20241023
161390,한국타이어앤테크놀로지,3.57,1300,20241023
004985,성신양회우,3.57,400,20241023
256150,한독크린텍,3.57,250,20241023
282330,BGF리테일,3.57,4100,20241023
007690,국도화학,3.57,1200,20241023
009580,무림P&P,3.56,100,20241023
045100,한양이엔지,3.56,600,20241023
089470,HDC현대EP,3.54,140,20241023
091700,파트론,3.53,250,20241023
145990,삼양사,3.51,1750,20241023
051380,피씨디렉트,3.5,100,20241023
37550K,DL이앤씨우,3.49,550,20241023
002600,조흥,3.49,6000,20241023
018250,애경산업,3.48,580,20241023
092300,현우산업,3.47,100,20241023
003010,혜인,3.46,170,20241023
101530,해태제과식품,3.46,200,20241023
097520,엠씨넥스,3.46,600,20241023
035510,신세계 I&C,3.46,350,20241023
015230,대창단조,3.46,180,20241023
019685,대교우B,3.46,45,20241023
036530,SNT홀딩스,3.46,800,20241023
064960,SNT모티브,3.46,1600,20241023
065530,와이어블,3.45,50,20241023
060380,동양에스텍,3.45,50,20241023
096760,JW홀딩스,3.45,105,20241023
058850,KTcs,3.44,100,20241023
016740,두올,3.44,120,20241023
009300,삼아제약,3.43,750,20241023
071050,한국금융지주,3.42,2650,20241023
078020,LS증권,3.42,150,20241023
007340,DN오토모티브,3.41,600,20241023
452400,이닉스,3.41,416,20241023
260660,알리코제약,3.41,130,20241023
003495,대한항공우,3.4,800,20241023
034730,SK,3.4,5000,20241023
096530,씨젠,3.4,800,20241023
005610,SPC삼립,3.4,1700,20241023
284740,쿠쿠홈시스,3.4,800,20241023
020180,대신정보통신,3.39,30,20241023
405100,큐알티,3.38,480,20241023
357230,에이치피오,3.38,100,20241023
004690,삼천리,3.37,3000,20241023
294870,HDC현대산업개발,3.37,700,20241023
105740,디케이락,3.36,250,20241023
054930,유신,3.36,750,20241023
023600,삼보판지,3.36,310,20241023
052460,아이크래프트,3.35,80,20241023
241790,티이엠씨씨엔에스,3.34,200,20241023
065370,위세아이텍,3.33,150,20241023
084690,대상홀딩스,3.33,270,20241023
298020,효성티앤씨,3.32,10000,20241023
060540,에스에이티,3.32,50,20241023
006040,동원산업,3.32,1100,20241023
036670,KCI,3.32,250,20241023
027410,BGF,3.31,120,20241023
038500,삼표시멘트,3.31,100,20241023
033530,SJG세종,3.3,150,20241023
011760,현대코퍼레이션,3.29,600,20241023
046310,백금T&A,3.29,80,20241023
034810,해성산업,3.28,225,20241023
034120,SBS,3.28,500,20241023
038680,에스넷,3.27,120,20241023
114090,GKL,3.27,353,20241023
120240,대정화금,3.27,450,20241023
004910,조광페인트,3.25,200,20241023
049960,쎌바이오텍,3.25,450,20241023
105560,KB금융,3.24,3060,20241023
137950,제이씨케미칼,3.24,150,20241023
192440,슈피겐코리아,3.24,696,20241023
013570,디와이,3.24,150,20241023
083450,GST,3.24,500,20241023
105630,한세실업,3.23,500,20241023
037440,희림,3.22,150,20241023
003490,대한항공,3.22,750,20241023
008260,NI스틸,3.21,125,20241023
037330,인지디스플레,3.21,50,20241023
041650,상신브레이크,3.2,110,20241023
111770,영원무역,3.2,1300,20241023
023800,인지컨트롤스,3.19,200,20241023
210540,디와이파워,3.19,400,20241023
38380K,LX홀딩스1우,3.19,280,20241023
075970,동국알앤에스,3.19,80,20241023
147830,제룡산업,3.19,200,20241023
035890,서희건설,3.18,45,20241023
139480,이마트,3.18,2000,20241023
006740,영풍제지,3.18,40,20241023
002170,삼양통상,3.17,1500,20241023
013120,동원개발,3.16,80,20241023
016710,대성홀딩스,3.16,250,20241023
332370,아이디피,3.16,120,20241023
195870,해성디에스,3.16,900,20241023
053280,예스24,3.15,200,20241023
